,Liver_ILC1_1,Liver_ILC1_2,Liver_ILC1_3,Liver_NK_1,Liver_NK_2,Liver_NK_3
-343C11.2,0,0,0,0,0,0
00R_AC107638.2,6,1,10,1,1,3
00R_Pgap2,0,0,0,0,0,0
0610005C13Rik,8,22,9,6,6,11
0610006L08Rik,0,0,0,0,0,0
0610007P14Rik,1448,1583,1708,1291,1504,1610
0610009B22Rik,208,221,266,233,186,241
0610009E02Rik,0,0,0,0,1,1
0610009L18Rik,42,44,30,62,52,56
0610009O20Rik,363,391,362,280,341,317
0610010F05Rik,1538,1489,1707,1489,2050,1728
0610010K14Rik,77,62,63,83,101,100
0610012D04Rik,9,4,6,30,35,37
0610012G03Rik,658,855,772,807,1014,1000
0610025J13Rik,0,0,0,0,0,0
0610030E20Rik,2166,2914,3063,2103,2702,2350
0610031O16Rik,0,0,0,0,1,0
0610033M10Rik,0,0,0,0,0,0
0610037L13Rik,1147,1016,1240,971,1242,1177
0610038B21Rik,36,61,44,24,20,19
0610039K10Rik,2,4,3,6,7,1
0610040B10Rik,44,51,26,55,58,56
0610040F04Rik,0,8,3,12,7,8
0610040J01Rik,0,0,0,2,0,0
0610043K17Rik,5,6,4,1,3,3
1010001B22Rik,0,2,3,0,4,2
1010001N08Rik,0,0,0,0,0,0
1110002E22Rik,0,0,0,0,0,19
1110002J07Rik,0,0,0,0,3,0
1110002L01Rik,165,158,183,180,223,213
1110002O04Rik,0,0,0,0,0,0
1110003F10Rik,6,12,8,4,1,7
1110004E09Rik,404,446,515,347,367,359
1110004F10Rik,4246,4478,4649,3403,4109,3943
1110006O24Rik,38,23,26,27,42,29
1110008E08Rik,0,0,0,0,0,0
1110008F13Rik,1416,1525,1497,1673,2150,2087
1110008L16Rik,218,181,192,246,202,202
1110008P14Rik,682,841,668,603,675,639
1110012L19Rik,413,437,517,542,583,477
1110015O18Rik,0,0,0,0,0,0
1110017D15Rik,2,0,0,0,0,0
1110018N20Rik,0,0,0,0,0,0
1110019D14Rik,54,21,44,45,44,40
1110020A21Rik,30,39,29,26,33,19
1110025L11Rik,0,0,0,0,0,0
1110025M09Rik,7,17,8,15,13,11
1110028F11Rik,91,111,96,56,51,55
1110028F18Rik,0,0,0,0,1,0
1110032A03Rik,181,180,156,145,216,220
1110032F04Rik,0,2,0,3,10,7
1110034G24Rik,450,561,515,486,594,629
1110035H17Rik,20,14,12,14,15,19
1110036E04Rik,0,0,0,0,0,0
1110037F02Rik,7471,7834,6628,7268,8256,7373
1110038B12Rik,51,48,26,79,51,89
1110038F14Rik,1100,1169,1249,723,912,964
1110046J04Rik,7,3,11,4,1,7
1110051M20Rik,105,121,145,122,126,117
1110057P08Rik,0,0,0,0,0,0
1110059E24Rik,795,947,934,739,844,940
1110059G10Rik,572,724,551,522,768,686
1110060G06Rik,0,0,0,0,0,0
1110065P20Rik,148,190,164,171,187,172
1190002N15Rik,4373,4544,4466,4567,5207,4552
1190003K10Rik,0,0,0,0,0,0
1190005I06Rik,4,2,1,1,4,2
1190007I07Rik,150,174,141,175,159,199
1190028D05Rik,0,0,0,0,0,0
1200007C13Rik,0,0,0,0,0,3
1300002E11Rik,975,958,1049,745,983,802
1300017J02Rik,2,2,1,5,2,8
1500002C15Rik,78,70,68,36,50,76
1500002F19Rik,3,4,1,2,1,2
1500004A13Rik,124,129,86,158,156,204
1500005C15Rik,0,0,0,0,3,0
1500009C09Rik,0,0,0,0,0,0
1500009L16Rik,0,0,0,6,7,4
1500011B03Rik,579,533,608,468,465,563
1500011K16Rik,141,144,117,121,133,131
1500012K07Rik,0,0,0,0,0,0
1500015A07Rik,112,123,111,199,186,204
1500015L24Rik,0,0,0,0,0,0
1500015O10Rik,1,1,0,0,0,0
1500017E21Rik,0,3,0,0,0,0
1500026H17Rik,0,1,0,0,3,2
1500035N22Rik,0,0,0,0,0,0
1520401A03Rik,1,3,0,0,2,1
1600002D24Rik,0,0,0,0,0,0
1600002H07Rik,154,137,178,121,146,206
1600002K03Rik,113,141,90,193,193,178
1600010M07Rik,0,0,2,0,1,0
1600012H06Rik,1296,1423,1401,1400,1509,1481
1600012P17Rik,0,0,0,0,0,0
1600014C10Rik,5636,5702,7032,2051,2714,2357
1600014C23Rik,0,0,0,0,4,2
1600015I10Rik,0,0,0,0,0,0
1600017P15Rik,0,0,0,2,0,0
1600019K03Rik,0,0,0,0,0,0
1600020E01Rik,647,639,831,692,814,966
1600023N17Rik,8,2,1,7,11,13
1600025M17Rik,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0
1600029O15Rik,1,0,0,0,7,2
1700001C02Rik,0,0,0,0,0,0
1700001C19Rik,142,113,101,1,3,7
1700001D01Rik,1,2,0,0,0,0
1700001F09Rik,0,0,0,0,0,0
1700001G01Rik,1,0,0,0,0,0
1700001G11Rik,5,8,4,3,11,2
1700001G17Rik,7,10,6,12,7,13
1700001J03Rik,0,0,0,0,3,0
1700001J04Rik,0,0,0,0,0,0
1700001J11Rik,0,0,1,0,0,0
1700001K19Rik,1,1,1,0,0,1
1700001L05Rik,17,13,12,13,19,17
1700001L19Rik,0,0,0,0,0,0
1700001N15Rik,0,0,0,0,0,0
1700001O22Rik,7,4,1,11,19,5
1700001P01Rik,0,0,0,0,0,0
1700003C15Rik,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0
1700003E16Rik,0,0,0,0,0,0
1700003E24Rik,0,0,0,0,0,0
1700003F12Rik,0,0,0,0,0,1
1700003G13Rik,0,0,0,0,0,0
1700003G18Rik,1,3,1,1,3,4
1700003H04Rik,0,0,0,0,0,0
1700003I16Rik,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0
1700003N22Rik,27,36,46,26,32,41
1700003P14Rik,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,1,2
1700006F04Rik,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0
1700006J14Rik,2,0,1,0,0,0
1700006P03Rik,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0
1700007G11Rik,0,4,1,0,0,0
1700007J10Rik,2,3,2,2,3,1
1700007K09Rik,0,0,0,0,0,1
1700007K13Rik,0,0,0,0,0,0
1700007L15Rik,56,54,44,59,71,74
1700007M16Rik,0,0,1,0,0,0
1700007P06Rik,0,0,0,0,0,0
1700008A23Rik,0,0,0,0,0,0
1700008B11Rik,0,1,0,2,3,3
1700008H02Rik,0,0,0,0,0,0
1700008J07Rik,51,59,31,57,77,77
1700008K24Rik,0,0,0,0,0,0
1700008N11Rik,0,0,0,0,0,0
1700008O03Rik,1,1,1,0,1,0
1700008P02Rik,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0
1700010H22Rik,0,0,1,0,0,0
1700010I02Rik,0,0,0,0,0,0
1700010I14Rik,76,87,158,100,122,171
1700010J16Rik,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0
1700010K24Rik,0,0,0,0,0,0
1700010L04Rik,0,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0
1700011C11Rik,0,0,0,0,0,0
1700011D18Rik,0,0,0,2,1,2
1700011H14Rik,0,1,1,0,0,0
1700011I03Rik,0,0,0,0,0,0
1700011L03Rik,0,0,0,0,0,2
1700011L22Rik,0,0,0,1,0,0
1700011M02Rik,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0
1700012B07Rik,16,6,11,0,0,0
1700012B09Rik,0,0,0,0,0,0
1700012C08Rik,0,0,0,0,0,0
1700012C14Rik,0,0,0,0,0,0
1700012D14Rik,163,126,122,90,50,56
1700012D16Rik,1,1,0,0,0,0
1700012E03Rik,0,0,0,0,0,0
1700012I11Rik,0,0,0,1,1,1
1700012J22Rik,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0
1700013A02Rik,0,0,0,3,0,0
1700013D24Rik,0,0,0,0,0,0
1700013F07Rik,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0
1700013M08Rik,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0
1700014D04Rik,0,0,6,9,0,5
1700014F14Rik,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0
1700015C17Rik,0,0,0,0,0,0
1700015F17Rik,1,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0
1700015O11Rik,0,1,0,1,0,0
1700016A09Rik,3,2,3,0,14,0
1700016B15Rik,1,1,0,0,0,4
1700016C15Rik,0,0,0,1,1,0
1700016D06Rik,0,0,0,0,0,0
1700016D08Rik,0,0,0,0,0,0
1700016F12Rik,0,0,0,0,0,0
1700016G14Rik,1,0,0,2,3,1
1700016G22Rik,0,0,0,0,0,0
1700016H13Rik,0,0,0,0,0,0
1700016K19Rik,0,0,0,0,0,0
1700016L21Rik,0,0,0,1,0,0
1700016P03Rik,1,6,7,4,6,4
1700016P04Rik,0,0,0,0,0,0
1700017B05Rik,2457,2659,2251,826,825,973
1700017D01Rik,0,0,0,0,0,0
1700017G19Rik,0,0,0,0,0,0
1700017I07Rik,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0
1700018A14Rik,9,4,3,6,4,6
1700018B08Rik,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0
1700018C11Rik,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0
1700018L02Rik,18,32,12,26,41,28
1700018M17Rik,3,3,2,3,4,2
1700018P08Rik,0,0,0,0,0,0
1700019A02Rik,0,0,0,0,0,0
1700019A23Rik,0,0,0,0,0,0
1700019B03Rik,0,0,4,1,4,1
1700019B21Rik,0,0,0,0,0,0
1700019D03Rik,1,1,0,1,4,2
1700019E08Rik,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0
1700020A23Rik,2,1,1,0,0,0
1700020D05Rik,2,3,4,2,2,0
1700020G17Rik,0,0,0,0,0,0
1700020I14Rik,10034,9215,11068,7930,8740,8260
1700020L24Rik,17,38,14,90,85,79
1700020M21Rik,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0
